EmployeeID,Date,FeedbackText,Sentiment_Score,Sentiment_Score_Normalized,Sentiment_Label
E008,2025-03-31,I enjoy coming to work every day.,0.4,0.7,Positive
E008,2025-04-30,The expectations are unclear for my role.,0.0,0.5,Neutral
E008,2025-05-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E008,2025-06-30,Great collaboration across departments.,0.8,0.9,Positive
E008,2025-07-31,I enjoy coming to work every day.,0.4,0.7,Positive
E008,2025-08-31,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E008,2025-09-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E009,2025-01-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E009,2025-02-28,Work processes are okay but could be improved.,0.5,0.75,Positive
E009,2025-03-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E009,2025-04-30,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E009,2025-05-31,Great collaboration across departments.,0.8,0.9,Positive
E009,2025-06-30,I enjoy coming to work every day.,0.4,0.7,Positive
E009,2025-07-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E009,2025-08-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E009,2025-09-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E010,2025-01-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E010,2025-02-28,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E010,2025-03-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E010,2025-04-30,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E010,2025-05-31,Great collaboration across departments.,0.8,0.9,Positive
E010,2025-06-30,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E010,2025-07-31,I enjoy coming to work every day.,0.4,0.7,Positive
E010,2025-08-31,There is a lack of communication from management.,0.0,0.5,Neutral
E010,2025-09-30,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E011,2025-01-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E011,2025-02-28,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E011,2025-03-31,Workload feels overwhelming lately.,0.1,0.55,Neutral
E011,2025-04-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E011,2025-05-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E011,2025-06-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E011,2025-07-31,Great collaboration across departments.,0.8,0.9,Positive
E011,2025-08-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E011,2025-09-30,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E012,2025-01-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E012,2025-02-28,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E012,2025-03-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E012,2025-04-30,Great collaboration across departments.,0.8,0.9,Positive
E012,2025-05-31,There is a lack of communication from management.,0.0,0.5,Neutral
E012,2025-06-30,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E012,2025-07-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E012,2025-08-31,I enjoy coming to work every day.,0.4,0.7,Positive
E012,2025-09-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E013,2025-01-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E013,2025-02-28,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E013,2025-03-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E013,2025-04-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E013,2025-05-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E013,2025-06-30,I enjoy coming to work every day.,0.4,0.7,Positive
E013,2025-07-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E013,2025-08-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E013,2025-09-30,Great collaboration across departments.,0.8,0.9,Positive
E014,2025-01-31,I enjoy coming to work every day.,0.4,0.7,Positive
E014,2025-02-28,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E014,2025-03-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E014,2025-04-30,Great collaboration across departments.,0.8,0.9,Positive
E014,2025-05-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E014,2025-06-30,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E014,2025-07-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E014,2025-08-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E014,2025-09-30,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E015,2025-01-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E015,2025-02-28,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E015,2025-03-31,Great collaboration across departments.,0.8,0.9,Positive
E015,2025-04-30,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E015,2025-05-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E015,2025-06-30,Great collaboration across departments.,0.8,0.9,Positive
E015,2025-07-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E015,2025-08-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E015,2025-09-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E016,2025-01-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E016,2025-02-28,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E016,2025-03-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E016,2025-04-30,I enjoy coming to work every day.,0.4,0.7,Positive
E016,2025-05-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E016,2025-06-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E016,2025-07-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E016,2025-08-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E016,2025-09-30,I enjoy coming to work every day.,0.4,0.7,Positive
E017,2025-01-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E017,2025-02-28,I enjoy coming to work every day.,0.4,0.7,Positive
E017,2025-03-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E017,2025-04-30,There is a lack of communication from management.,0.0,0.5,Neutral
E017,2025-05-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E017,2025-06-30,I enjoy coming to work every day.,0.4,0.7,Positive
E017,2025-07-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E017,2025-08-31,Workload feels overwhelming lately.,0.1,0.55,Neutral
E017,2025-09-30,I enjoy coming to work every day.,0.4,0.7,Positive
E018,2025-01-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E018,2025-02-28,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E018,2025-03-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E018,2025-04-30,Workload feels overwhelming lately.,0.1,0.55,Neutral
E018,2025-05-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E018,2025-06-30,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E018,2025-07-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E018,2025-08-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E018,2025-09-30,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E019,2025-01-31,I enjoy coming to work every day.,0.4,0.7,Positive
E019,2025-02-28,Great collaboration across departments.,0.8,0.9,Positive
E019,2025-03-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E019,2025-04-30,Workload feels overwhelming lately.,0.1,0.55,Neutral
E019,2025-05-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E019,2025-06-30,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E019,2025-07-31,Workload feels overwhelming lately.,0.1,0.55,Neutral
E019,2025-08-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E019,2025-09-30,Workload feels overwhelming lately.,0.1,0.55,Neutral
E020,2025-01-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E020,2025-02-28,Workload feels overwhelming lately.,0.1,0.55,Neutral
E020,2025-03-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E020,2025-04-30,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E020,2025-05-31,There is a lack of communication from management.,0.0,0.5,Neutral
E020,2025-06-30,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E020,2025-07-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E020,2025-08-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E020,2025-09-30,I enjoy coming to work every day.,0.4,0.7,Positive
E021,2025-01-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E021,2025-02-28,Great collaboration across departments.,0.8,0.9,Positive
E021,2025-03-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E021,2025-04-30,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E021,2025-05-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E021,2025-06-30,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E021,2025-07-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E021,2025-08-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E021,2025-09-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E022,2025-01-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E022,2025-02-28,Workload feels overwhelming lately.,0.1,0.55,Neutral
E022,2025-03-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E022,2025-04-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E022,2025-05-31,I enjoy coming to work every day.,0.4,0.7,Positive
E022,2025-06-30,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E022,2025-07-31,There is a lack of communication from management.,0.0,0.5,Neutral
E022,2025-08-31,Great collaboration across departments.,0.8,0.9,Positive
E022,2025-09-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E023,2025-01-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E023,2025-02-28,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E023,2025-03-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E023,2025-04-30,Great collaboration across departments.,0.8,0.9,Positive
E023,2025-05-31,Great collaboration across departments.,0.8,0.9,Positive
E023,2025-06-30,I enjoy coming to work every day.,0.4,0.7,Positive
E023,2025-07-31,Workload feels overwhelming lately.,0.1,0.55,Neutral
E023,2025-08-31,Great collaboration across departments.,0.8,0.9,Positive
E023,2025-09-30,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E024,2025-01-31,Great collaboration across departments.,0.8,0.9,Positive
E024,2025-02-28,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E024,2025-03-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E024,2025-04-30,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E024,2025-05-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E024,2025-06-30,Great collaboration across departments.,0.8,0.9,Positive
E024,2025-07-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E024,2025-08-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E024,2025-09-30,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E025,2025-01-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E025,2025-02-28,There is a lack of communication from management.,0.0,0.5,Neutral
E025,2025-03-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E025,2025-04-30,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E025,2025-05-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E025,2025-06-30,The expectations are unclear for my role.,0.0,0.5,Neutral
E025,2025-07-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E025,2025-08-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E025,2025-09-30,Great collaboration across departments.,0.8,0.9,Positive
E026,2025-01-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E026,2025-02-28,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E026,2025-03-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E026,2025-04-30,I enjoy coming to work every day.,0.4,0.7,Positive
E026,2025-05-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E026,2025-06-30,Great collaboration across departments.,0.8,0.9,Positive
E026,2025-07-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E026,2025-08-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E026,2025-09-30,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E027,2025-01-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E027,2025-02-28,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E027,2025-03-31,I enjoy coming to work every day.,0.4,0.7,Positive
E027,2025-04-30,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E027,2025-05-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E027,2025-06-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E027,2025-07-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E027,2025-08-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E027,2025-09-30,Great collaboration across departments.,0.8,0.9,Positive
E028,2025-01-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E028,2025-02-28,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E028,2025-03-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E028,2025-04-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E028,2025-05-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E028,2025-06-30,The expectations are unclear for my role.,0.0,0.5,Neutral
E028,2025-07-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E028,2025-08-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E028,2025-09-30,I enjoy coming to work every day.,0.4,0.7,Positive
E029,2025-01-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E029,2025-02-28,Great collaboration across departments.,0.8,0.9,Positive
E029,2025-03-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E029,2025-04-30,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E029,2025-05-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E029,2025-06-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E029,2025-07-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E029,2025-08-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E029,2025-09-30,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E030,2025-01-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E030,2025-02-28,I enjoy coming to work every day.,0.4,0.7,Positive
E030,2025-03-31,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E030,2025-04-30,The expectations are unclear for my role.,0.0,0.5,Neutral
E030,2025-05-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E030,2025-06-30,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E030,2025-07-31,I enjoy coming to work every day.,0.4,0.7,Positive
E030,2025-08-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E030,2025-09-30,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E031,2025-01-31,Great collaboration across departments.,0.8,0.9,Positive
E031,2025-02-28,Work processes are okay but could be improved.,0.5,0.75,Positive
E031,2025-03-31,The expectations are unclear for my role.,0.0,0.5,Neutral
E031,2025-04-30,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E031,2025-05-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E031,2025-06-30,Great collaboration across departments.,0.8,0.9,Positive
E031,2025-07-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E031,2025-08-31,Workload feels overwhelming lately.,0.1,0.55,Neutral
E031,2025-09-30,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E032,2025-01-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E032,2025-02-28,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E032,2025-03-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E032,2025-04-30,I enjoy coming to work every day.,0.4,0.7,Positive
E032,2025-05-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E032,2025-06-30,Great collaboration across departments.,0.8,0.9,Positive
E032,2025-07-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E032,2025-08-31,There is a lack of communication from management.,0.0,0.5,Neutral
E032,2025-09-30,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E033,2025-01-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E033,2025-02-28,I enjoy coming to work every day.,0.4,0.7,Positive
E033,2025-03-31,I enjoy coming to work every day.,0.4,0.7,Positive
E033,2025-04-30,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E033,2025-05-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E033,2025-06-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E033,2025-07-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E033,2025-08-31,Great collaboration across departments.,0.8,0.9,Positive
E033,2025-09-30,I enjoy coming to work every day.,0.4,0.7,Positive
E034,2025-01-31,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E034,2025-02-28,Great collaboration across departments.,0.8,0.9,Positive
E034,2025-03-31,There is a lack of communication from management.,0.0,0.5,Neutral
E034,2025-04-30,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E034,2025-05-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E034,2025-06-30,I enjoy coming to work every day.,0.4,0.7,Positive
E034,2025-07-31,I enjoy coming to work every day.,0.4,0.7,Positive
E034,2025-08-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E034,2025-09-30,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E035,2025-01-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E035,2025-02-28,I enjoy coming to work every day.,0.4,0.7,Positive
E035,2025-03-31,Workload feels overwhelming lately.,0.1,0.55,Neutral
E035,2025-04-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E035,2025-05-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E035,2025-06-30,I enjoy coming to work every day.,0.4,0.7,Positive
E035,2025-07-31,Great collaboration across departments.,0.8,0.9,Positive
E035,2025-08-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E035,2025-09-30,Great collaboration across departments.,0.8,0.9,Positive
E036,2025-01-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E036,2025-02-28,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E036,2025-03-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E036,2025-04-30,Great collaboration across departments.,0.8,0.9,Positive
E036,2025-05-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E036,2025-06-30,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E036,2025-07-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E036,2025-08-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E036,2025-09-30,Workload feels overwhelming lately.,0.1,0.55,Neutral
E037,2025-01-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E037,2025-02-28,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E037,2025-03-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E037,2025-04-30,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E037,2025-05-31,I enjoy coming to work every day.,0.4,0.7,Positive
E037,2025-06-30,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E037,2025-07-31,Work processes are okay but could be improved.,0.5,0.75,Positive
E037,2025-08-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E037,2025-09-30,Workload feels overwhelming lately.,0.1,0.55,Neutral
E038,2025-01-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E038,2025-02-28,Great collaboration across departments.,0.8,0.9,Positive
E038,2025-03-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E038,2025-04-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E038,2025-05-31,I enjoy coming to work every day.,0.4,0.7,Positive
E038,2025-06-30,Great collaboration across departments.,0.8,0.9,Positive
E038,2025-07-31,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E038,2025-08-31,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E038,2025-09-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E039,2025-01-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E039,2025-02-28,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E039,2025-03-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E039,2025-04-30,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E039,2025-05-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E039,2025-06-30,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E039,2025-07-31,Great collaboration across departments.,0.8,0.9,Positive
E039,2025-08-31,Deadlines are unrealistic and stressful.,-0.5,0.25,Negative
E039,2025-09-30,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E040,2025-01-31,I enjoy coming to work every day.,0.4,0.7,Positive
E040,2025-02-28,The expectations are unclear for my role.,0.0,0.5,Neutral
E040,2025-03-31,I feel neither satisfied nor dissatisfied.,0.5,0.75,Positive
E040,2025-04-30,Great collaboration across departments.,0.8,0.9,Positive
E040,2025-05-31,Great collaboration across departments.,0.8,0.9,Positive
E040,2025-06-30,"The work environment is fine, nothing special.",0.3869047619047619,0.693,Positive
E040,2025-07-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
E040,2025-08-31,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E040,2025-09-30,Work processes are okay but could be improved.,0.5,0.75,Positive
E041,2025-01-31,The manager gives constructive feedback regularly.,0.0,0.5,Neutral
E041,2025-02-28,Workload feels overwhelming lately.,0.1,0.55,Neutral
E041,2025-03-31,The workload is manageable and leadership is supportive.,0.5,0.75,Positive
E041,2025-04-30,Workload feels overwhelming lately.,0.1,0.55,Neutral
E041,2025-05-31,Limited opportunities for career growth.,-0.07142857142857142,0.464,Neutral
E041,2025-06-30,I feel motivated by the team and our goals.,0.0,0.5,Neutral
E041,2025-07-31,I enjoy coming to work every day.,0.4,0.7,Positive
E041,2025-08-31,My tasks are repetitive but manageable.,-0.25,0.375,Negative
